we_vote_id,ballot_item_display_name,state_code,party,twitter_description,candidate_ultimate_election_date,contest_office_name,district_name,google_civic_election_id,state_code_2
wv87cand2302735,Nicholas Symochko,ct,Conservative Party,,20241105,U.S. Representative,Connecticut's 1st congressional district,1000336,ct
wv87cand2302736,Mark Hancock,ct,Republican,,20241105,U.S. Representative,Connecticut's 1st congressional district,1000336,ct
wv87cand2302737,Bob MacGuffie,ct,Republican,Candidate for the Republican nomination for Congress in Connecticut's 4th District.  Defender of our Constitutional Republic & author of The https://t.co/zC99yqfLq8,20241105,U.S. Representative,Connecticut's 4th congressional district,1000336,ct
wv87cand2302738,Alexander Geise,de,Democrat,,20241105,U.S. Representative,Delaware,1000336,de
wv87cand2302739,Rick Scott,fl,Republican,Florida's U.S. Senator. Fighting for Florida families and to Make Washington Work. #LetsGetToWork https://t.co/O6Ra1UNW96,20241105,U.S. Senator,Florida,1000336,fl
wv87cand2302740,Keith Gross,fl,Republican,"Republican Candidate for the United States Senate 
 | Businessman | Attorney | Pilot",20241105,U.S. Senator,Florida,1000336,fl
wv87cand2302741,A.C. Toulme Jr.,fl,Moderate Party,,20241105,U.S. Senator,Florida,1000336,fl
wv87cand2302742,Matt Boswell,fl,Democrat,Dignity for All 🇺🇸,20241105,U.S. Senator,Florida,1000336,fl
wv87cand2302743,Don Horan,fl,Democrat,"AI CEO of https://t.co/5vBkkAZq9m, Government Fixer, bringing AI to all and creating opportunities for those that need it!",20241105,U.S. Senator,Florida,1000336,fl
wv87cand2302744,Rod Joseph,fl,Democrat,"Rod Joseph is a democratic candidate for House Representative district36, Seminole county. Primary elections are on August 23rd. General elections are Nov 8th.",20241105,U.S. Senator,Florida,1000336,fl
wv87cand2302745,Bernard Korn,fl,Democrat,,20241105,U.S. Senator,Florida,1000336,fl
wv87cand2302746,Josue Larose,fl,Democrat,"Economist and Political Scientist Josue Larose is a Wall Street CEO and a Billionaire.
He is a Government Official and the Democratic Candidate for U.S. Senate",20241105,U.S. Senator,Florida,1000336,fl
wv87cand2302747,Andy Romagnano,fl,Democrat,Candidate for US House FL-1,20241105,U.S. Senator,Florida,1000336,fl
wv87cand2302748,Matthew Sanscrainte,fl,Democrat,"Candidate For US Senate–FL, a comedian, hospitality management consultant, a civil rights activist, and hope to be FUTURE Senator of the Great State of FLORIDA!",20241105,U.S. Senator,Florida,1000336,fl
wv87cand2302749,Randy Toler,fl,Green,Florida politician w/focus on eco-software  Writing book on ecologism a word I coined  Ex-IBM Mainframe Wife & I ran for schoolboard 7th largest USA district,20241105,U.S. Senator,Florida,1000336,fl
wv87cand2302750,Willie Anderson ,fl,Republican,,20241105,U.S. Representative,Florida's 2nd congressional district,1000336,fl
wv87cand2302751,Anthony Stebbins,fl,Libertarian,,20241105,U.S. Representative,Florida's 3rd congressional district,1000336,fl
wv87cand2302752,Mathias Lenssen,fl,Republican,,20241105,U.S. Representative,Florida's 6th congressional district,1000336,fl
wv87cand2302753,Angel Coba,fl,Republican,American Hispanic Candidate for US Congress FL(9) 🇺🇸 🇪🇨,20241105,U.S. Representative,Florida's 9th congressional district,1000336,fl
wv87cand2302754,Ralph Groves,fl,Libertarian,,20241105,U.S. Representative,Florida's 11th congressional district,1000336,fl
wv87cand2302755,Anthony Sabatini,fl,Republican,"#AmericaFirst Republican for Congress (FL-11) | Chairman, @LakeGOP | Attorney, Sabatini Law Firm | Army Vet | @UF: BA ‘12, JD ‘17 | @ClaremontInst, Lincoln ‘21",20241105,U.S. Representative,Florida's 11th congressional district,1000336,fl
wv87cand2302756,Daniel Webster,fl,Republican,A family man and small-business owner who is dedicated to serving the citizens of Central Florida with honor and integrity.,20241105,U.S. Representative,Florida's 11th congressional district,1000336,fl
wv87cand2302757,Laura Loomer,fl,Republican,Investigative Journalist 🇺🇸 Founder of LOOMERED. Author ✍️ Former @Project_Veritas operative. 📸America First Conservative ✡️ Feisty Jewess. 🔥Receipt Queen.,20241105,U.S. Representative,Florida's 11th congressional district,1000336,fl
wv87cand2302758,Chris Eddy,fl,Republican,,20241105,U.S. Representative,Florida's 25th congressional district,1000336,fl
wv87cand2302759,Rubin Young,fl,Republican,"2024 Clk of Ct and Congressional Candidate CD25, REC Committeeman, who's been helping GOP take on Debbie Wasserman Schultz alleged election fraud. SAVE AMERICA.",20241105,U.S. Representative,Florida's 25th congressional district,1000336,fl
wv87cand2302760,Ian Medina,fl,Republican,,20241105,U.S. Representative,Florida's 26th congressional district,1000336,fl
wv87cand2302761,Mazie K. Hirono,hi,Democrat,U.S. Senator Mazie K. Hirono - Proudly Serving the People of Hawaii,20241105,U.S. Senator,Hawaii,1000336,hi
wv87cand2302762,Kaylee Peterson,id,Democrat,"President of the Idaho Young Democrats.     

     Dem Candidate for the U.S. House.

        Sophomore. Mom. Politics/History Nerd.

         Kaylee Peterson",20241105,U.S. Representative,Idaho's 1st congressional district,1000336,id
wv87cand2302763,Richard Grayson,id,Democrat,,20241105,U.S. Representative,Idaho's 2nd congressional district,1000336,id
wv87cand2302764,John Curry,il,Democrat,"Safety, Happiness, and Peace Through Working Together
Please consider and share my Idea & my plan to unite Americans.
Let's get a peaceful revolution started!",20240319,U.S. Representative,Illinois's 2nd congressional district,1000338,il
wv87cand2302765,Danny Davis,il,Democrat,“The People’s Congressman” US House Representative for Illinois' 7th District. Serving on the 118th Congress Committee on Ways and Means.,20240319,U.S. Representative,Illinois's 7th congressional district,1000338,il
wv87cand2302766,Greg Landsman,oh,Democrat,"Father, husband, proud Cincinnatian. Congressman representing #OH01.",20241105,U.S. Representative,Ohio's 1st congressional district,1000336,oh
wv87cand2302767,Melissa Conyears-Ervin,il,Democrat,Treasurer for the City of Chicago. Working for economic empowerment in Chicago’s neighborhoods regardless of zip code. Loving Mother. Proud Chicago-native.,20240319,U.S. Representative,Illinois's 7th congressional district,1000338,il
wv87cand2302768,Abhijit Patel,il,Republican,,20240319,U.S. Representative,Illinois's 8th congressional district,1000338,il
wv87cand2302769,Jorge Briseno,il,Independent,,20240319,U.S. Representative,Illinois's 8th congressional district,1000338,il
wv87cand2302770,Christopher Anderson,il,Democrat,,20240319,U.S. Representative,Illinois's 10th congressional district,1000338,il
wv87cand2302771,Joshua Loyd,il,Republican,Congressional candidate ✝️Christian 🫡Veteran 📚Supporter of Educational Opportunity 🐘Conservative https://t.co/jeZfrxIRjr,20240319,U.S. Representative,Illinois's 11th congressional district,1000338,il
wv87cand2302772,Krystal Dorey,il,Republican,Republican candidate for United States House of Representatives - IL-14,20240319,U.S. Representative,Illinois's 14th congressional district,1000338,il
wv87cand2302773,Matt Leiv,il,Republican,"Husband, Father, Businessman
Candidate for U.S. Congress in Illinois’ 14th District
Cut taxes, reduce the Fed, protect 2A, and reduce division",20240319,U.S. Representative,Illinois's 14th congressional district,1000338,il
wv87cand2302774,Ray Estrada,il,Republican,,20240319,U.S. Representative,Illinois's 17th congressional district,1000338,il
wv87cand2302775,Joseph Severino,il,Republican,,20241105,U.S. Representative,Illinois's 10th congressional district,1000336,il
wv87cand2302776,Jack Lombardi II,il,Republican,"Follow Christ. Husband, Father, Activist,
Entrepreneur & Martial Artist. 
PRO 1A, 2A, RIGHT TO LIFE, PARENTS' RIGHTS. press@lombardiforcongress.com",20241105,U.S. Representative,Illinois's 14th congressional district,1000336,il
wv87cand2302777,Aleem Young,in,Democrat,,20241105,U.S. Senator,Indiana,1000336,in
wv87cand2302778,Jim Banks,in,Republican,Father. Husband. US Navy/Afghanistan Veteran. Indiana Congressman.,20240507,U.S. Senator,Indiana,1000339,in
wv87cand2302779,Erik Benson,in,Republican,,20241105,U.S. Senator,Indiana,1000336,in
wv87cand2302780,Anthony Tibby,in,Republican,,20241105,U.S. Senator,Indiana,1000336,in
wv87cand2302781,Marshall Travis,in,Progressive Party,"https://t.co/qvyH5ljt2R

paid for by Travis for Congress",20241105,U.S. Senator,Indiana,1000336,in
wv87cand2302782,Samuel Kravitz,in,Independent,,20240507,U.S. Representative,Indiana's 1st congressional district,1000339,in
wv87cand2302783,Wendy W. Davis,in,Republican,"Proud Hoosier, Indiana Judge, military wife, military mother & conservative running for #IN03. Pro America, pro Christian family values, anti woke.",20240507,U.S. Representative,Indiana's 3rd congressional district,1000339,in
wv87cand2302784,Mike Felker,in,Republican,"Maintenance Technician, Retired Infantry 1SG, Iraq Veteran, Republican canidate Running for Congress Indiana's 3rd District",20240507,U.S. Representative,Indiana's 3rd congressional district,1000339,in
wv87cand2302785,Jon Kenworthy,in,Republican,Candidate for Indiana 3rd Congressional District.,20240507,U.S. Representative,Indiana's 3rd congressional district,1000339,in
wv87cand2302786,Chandler Likes,in,Republican,Candidate for U.S. Congress Indiana's 3rd District.,20240507,U.S. Representative,Indiana's 3rd congressional district,1000339,in
wv87cand2302787,Marlin Stutzman,in,Republican,The official campaign account of Marlin Stutzman for Congress.,20240507,U.S. Representative,Indiana's 3rd congressional district,1000339,in
wv87cand2302788,Andy Zay,in,Republican,"Indiana State Senator, Business Owner and Mentor.
🗣 Proudly representing District 17 
🇺🇸 Family, Faith, and Freedom 
#ZAYFORCONGRESS",20240507,U.S. Representative,Indiana's 3rd congressional district,1000339,in
wv87cand2302789,Rodney Cummings,in,Republican,,20240507,U.S. Representative,Indiana's 5th congressional district,1000339,in
wv87cand2302790,Chuck Goodrich,in,Republican,"State Rep. HD 29, Conservative, Husband, Father of 4, Grandfather of 1, CEO of @GaylorElectric & your candidate for Congress. #GoWithGoodrich #PeopleFirst2024",20240507,U.S. Representative,Indiana's 5th congressional district,1000339,in
wv87cand2302791,Matthew Peiffer,in,Republican,,20240507,U.S. Representative,Indiana's 5th congressional district,1000339,in
wv87cand2302792,Ben Ruiz,in,Republican,,20241105,U.S. Representative,Indiana's 1st congressional district,1000336,in
wv87cand2302793,Pete Ricketts,ne,Republican,"Husband, father of three, 40th governor of Nebraska now serving as U.S.Senator for Nebraska",20241105,U.S. Senator,Nebraska,1000336,ne
wv87cand2302794,John Glen Weaver,ne,Republican,Christian. Father + Husband. Conservative. Retired USAF Lt Col. Iraq & Afghan Combat Veteran running for U.S. Senate in the great state of Nebraska,20241105,U.S. Senator,Nebraska,1000336,ne
wv87cand2302795,Deb Fischer,ne,Republican,United States Senator for Nebraska,20241105,U.S. Senator,Nebraska,1000336,ne
wv87cand2302796,Alisha Shelton,ne,Democrat,"🌊 Mental Health Therapist, Wife, Dog Mom of 2 Rescue Pups, Nebraskan. Former candidate for Congress in NE-02. She/her. 🐘",20241105,U.S. Senator,Nebraska,1000336,ne
wv87cand2302797,Michael Soetaert,ks,Democrat,"#GAY #DEMOCRATIC #WRITEIN for President of the United States. Mike is also a #LGBTQIA+ activist, advocate & ally for passage of the #EqualityAct. https://t.co/Bont2KzdHn",20241105,U.S. Representative,Kansas's 2nd congressional district,1000336,ks
wv87cand2302798,Eli Woody,ks,Democrat,"🇺🇸Candidate, (D) KS-02. Former teacher. Fighting for the working class. 🌻 Paid for by Woody4Congress",20241105,U.S. Representative,Kansas's 2nd congressional district,1000336,ks
wv87cand2302799,Randy Cravens,ky,Democrat,Democratic candidate for US House of Representatives - KY 6th Congressional District (2024).,20241105,U.S. Representative,Kentucky's 6th congressional district,1000336,ky
wv87cand2302800,Dana Edwards,ky,Republican,,20241105,U.S. Representative,Kentucky's 5th congressional district,1000336,ky
wv87cand2302801,David Kraftchak,ky,Republican,Republican Congressional Candidate for the US House of Representatives 5th District of KY,20241105,U.S. Representative,Kentucky's 5th congressional district,1000336,ky
wv87cand2302802,Kirsten Engel,az,Democrat,"Mom, educator, environmental lawyer, former State Legislator and Dem nominee for CD6 in 2022. Committed to fighting for Arizonans and our  future!",20241105,U.S. Representative,Arizona's 6th congressional district,1000336,az
wv87cand2302803,Jeremy Spreitzer,az,Democrat,I'm a proud 2nd Generation Arizonan running for Congress in the 8th District. I'm passionate about  our voices are heard in Washington. #jeremy4congress,20241105,U.S. Representative,Arizona's 8th congressional district,1000336,az
wv87cand2302804,Nicholas Blair,az,,,20241105,U.S. Representative,Arizona's 9th congressional district,1000336,az
wv87cand2302806,Mac  Deford,sc,Democrat,U.S. Coast Guard Veteran | Citadel Graduate | Dedicated Public Servant | Attorney | Democrat Running for U.S. Congress #SC01,20241105,U.S. Representative,South Carolina's 1st congressional district,1000336,sc
wv87cand2302807,Michael B. Moore,sc,Democrat,"Husband, father of 4, businessman, founding president @IAAMuseum, great-great grandson of Civil War Hero & U.S. Rep. #RobertSmalls & Democrat for Congress #SC01",20241105,U.S. Representative,South Carolina's 1st congressional district,1000336,sc
wv87cand2302808,Austin Anderson,sc,Republican,"Conservative reformist! 🇺🇸 Speaks English, Russian. We will fight against the concerted effort to depopulate, impoverish, and demoralize the American People.",20241105,U.S. Representative,South Carolina's 1st congressional district,1000336,sc
wv87cand2302809,Daniel Duncan,sc,Democrat,"Daniel A Duncan
Candidate for US House District 3
Truck Driver
Lifelong Progressive Democrat
(He/Him)
https://t.co/OtxZDVlc3x…",20241105,U.S. Representative,South Carolina's 3rd congressional district,1000336,sc
wv87cand2302810,Shaliek Tarpley,va,,Christian. Conservative. Candidate for VA-07. Chemical Operations Veteran. Bundt Cake Bandit. Bipartisan Believer.,20241105,U.S. Representative,Virginia's 7th congressional district,1000336,va
wv87cand2302811,Derrick Evans,wv,Republican,Republican Candidate for the WV House of Delegates District 19 | Pro Life | Pro Gun | Fighting For Christian Values,20241105,U.S. Representative,West Virginia's 1st congressional district,1000336,wv
wv87cand2302812,Nate Cain,wv,Republican,Official account for Republican Candidate Nate Cain for US House of Representatives WV-2 in 2024. #ConstitutionalConservative #AmericaFirstPolicies #Veteran,20241105,U.S. Representative,West Virginia's 2nd congressional district,1000336,wv
wv87cand2302813,Joseph Earley,wv,Republican,"Republican Congressional Candidate - WV 02, 🇺🇸✝️, Son of West Virginia, US Army 1SG  (Retired), Cyber-geek, STEM enthusiast, 2A, H-D Motorcycles.",20241105,U.S. Representative,West Virginia's 2nd congressional district,1000336,wv
wv87cand2302814,Alex Gaaserud,wv,Republican,"WV02 Candidate, Leader, Father, Husband, Patriot, Republican, West Virginian",20241105,U.S. Representative,West Virginia's 2nd congressional district,1000336,wv
wv87cand2302815,Riley Moore,wv,Republican,"Candidate for Congress (WV-2), WV State Treasurer, former WV Delegate, father, husband, Roman Catholic, Conservative, & Mountaineer fan. Retweet≠endorsement.",20241105,U.S. Representative,West Virginia's 2nd congressional district,1000336,wv
wv87cand2302816,Mel Manuel,la,Democrat,"Trans Nonbinary LA-1 Congressional Candidate (D). Champion of universal basic income, reproductive rights, equitable representation, and equal rights.",20241105,U.S. Representative,Louisiana's 1st congressional district,1000336,la
wv87cand2302817,Mariela Roca,md,Republican,"Proud Mom, Conservative, and Air Force Veteran | Congressional Candidate #MD06🇺🇸🇵🇷",20241105,U.S. Representative,Maryland's 6th congressional district,1000336,md
wv87cand2302818,Dennis L. Baker,ok,Democrat,"Democrat, lawyer, former FBI Special Agent, Tsoyaha, American, fighting for living wage jobs, public education, health care access for all, & safe communities.",20241105,U.S. Representative,Oklahoma's 1st congressional district,1000336,ok
wv87cand2302819,Anthony Hammes,wi,Democrat,,20241105,U.S. Representative,Wisconsin's 1st congressional district,1000336,wi
wv87cand2302820,Christopher Leon,wi,Democrat,"In 2008 as a Marine I swore an oath to this country, as your Representative I will keep that oath and fight for you everyday no matter what comes my way.",20241105,U.S. Representative,Wisconsin's 5th congressional district,1000336,wi
wv87cand2302821,Kyle Kilbourn,wi,Democrat,"Running for Congress, WI-07 in 2024. Outdoor Enthusiast. Leader for what's next.",20241105,U.S. Representative,Wisconsin's 7th congressional district,1000336,wi
wv87cand2302824,Joseph Alfonso,mi,Democrat,"Father | husband | Marine | Mom's 🇵🇷 Pop's 🇩🇴  AFSCME DC 37 Candidate for Congress #MI04
 https://t.co/wBpGQ6arRg",20241105,U.S. Representative,Michigan's 4th congressional district,1000336,mi
wv87cand2302825,Diane Young,wi,Democrat,Michigan Mom. Small business owner. Financial planner and community leader.,20241105,U.S. Representative,Michigan's 10th congressional district,1000336,wi
wv87cand2302826,Tim Scott,na,Republican,"Just a South Carolinian living his mama’s American Dream.

Ranking Member of @BankingGOP",20241105,President of the United States,United States,1000336,na
wv87cand2302827,Marianne Williamson,na,Democrat,Candidate for President of the United States.,20241105,President of the United States,United States,1000336,na
wv87cand2302828,Robert F. Kennedy Jr,na,Democrat,Big thanks to everyone who is following me on Twitter. Please help grow our movement by subscribing to https://t.co/iCaoBrBA0u and making a donation.,20241105,President of the United States,United States,1000336,na
wv87cand2302829,Joel Mutchler,oh,Republican,,20241105,U.S. Senator,Ohio,1000336,oh
